Plasmid_1	Plasmid_2	Plasmid_3	Plasmid_4	Plasmid_5	Plasmid_6	Plasmid_7	Plasmid_8	Plasmid_9	Plasmid_10	Plasmid_11	Plasmid_12	Plasmid_13	Plasmid_14	Plasmid_15	Plasmid_16	Plasmid_17	Plasmid_18	Plasmid_19	Plasmid_20	Plasmid_21	Plasmid_22	Plasmid_23	Plasmid_24	Plasmid_25	Plasmid_26	Plasmid_27	Plasmid_28	Plasmid_29	Plasmid_30	Plasmid_31	Plasmid_32	Plasmid_33	Plasmid_34	Plasmid_35	Plasmid_36	Plasmid_37	Plasmid_38	Plasmid_39	Plasmid_40	Plasmid_41	Plasmid_42	Plasmid_43	Plasmid_44	Plasmid_45	Plasmid_46	Plasmid_47	Plasmid_48	Plasmid_49	Plasmid_50	Plasmid_51	Plasmid_52	Plasmid_53	Plasmid_54	Plasmid_55	Plasmid_56	Plasmid_57	Plasmid_58	Plasmid_59	Plasmid_60	Plasmid_61	Plasmid_62	Plasmid_63	Plasmid_64	Plasmid_65	Plasmid_66	Plasmid_67	Plasmid_68	Plasmid_69	Plasmid_70	Plasmid_71	Plasmid_72	Plasmid_73	Plasmid_74	Plasmid_75	Plasmid_76	Plasmid_77	Plasmid_78	Plasmid_79	Plasmid_80	Plasmid_81	Plasmid_82
0	2	0	2	1	0	1	0	3	8	2	2	0	0	1	10	4	5	8	0	1	1	2	0	0	2	2	5	0	2	4	2	2	0	0	2	3	0	4	3	6	1	4	0	6	0	1	0	0	5	0	5	0	7	8	0	0	2	2	4	5	5	4	2	4	2	6	0	0	0	0	3	6	8	6	2	0	3	1	0	0	0
0	0	1	3	1	1	1	3	6	5	0	5	0	0	2	2	1	5	7	0	3	0	0	0	0	2	3	7	1	6	5	0	3	0	0	1	1	0	2	2	4	0	5	0	6	0	1	0	0	0	2	1	0	6	1	0	0	4	7	8	3	5	4	3	11	4	4	0	0	0	0	5	5	3	0	4	0	0	0	0	0	0
0	1	0	5	0	0	1	2	7	2	2	0	0	0	1	6	5	2	7	0	1	0	1	0	0	2	3	7	1	6	4	1	3	0	0	1	1	0	3	6	1	1	3	0	10	0	0	0	0	5	0	3	0	6	4	0	1	2	5	8	5	6	6	1	9	3	3	0	0	0	0	8	3	4	2	1	0	2	0	0	0	0
0	2	0	3	2	1	2	2	3	11	0	0	0	3	1	11	1	7	7	0	1	0	3	0	2	0	2	3	2	7	7	2	3	0	0	1	2	0	6	2	4	0	2	0	6	0	1	0	0	3	2	6	2	3	7	0	3	3	4	9	6	3	2	1	13	0	5	0	0	0	0	2	3	6	6	4	0	1	0	0	0	0
0	1	0	6	1	1	2	3	3	2	1	0	0	0	0	5	5	6	3	0	1	1	0	0	0	2	3	3	0	0	9	0	3	0	0	2	1	0	1	0	4	1	1	0	6	1	4	0	0	5	0	3	1	3	6	0	2	1	7	6	2	5	3	2	5	3	5	0	0	0	0	3	5	0	3	5	0	1	0	0	0	0
0	1	0	2	2	2	4	3	5	5	2	1	0	2	0	8	1	5	12	0	2	3	2	0	1	1	1	7	1	3	5	1	4	0	0	0	1	0	3	0	3	0	5	0	9	0	2	0	0	6	0	3	0	5	3	0	2	3	3	6	9	1	6	1	6	4	3	0	0	0	0	4	4	6	3	3	0	1	0	0	0	0
0	1	0	4	2	2	2	4	7	3	1	2	0	1	0	7	3	6	5	0	3	0	2	0	0	2	5	4	1	7	5	2	1	0	0	0	0	0	4	0	2	1	2	0	10	0	0	0	0	3	0	9	0	4	5	0	0	3	3	5	2	5	3	1	5	1	5	0	0	0	0	2	1	4	2	4	0	1	0	0	0	0
0	0	0	2	1	0	0	2	5	8	3	1	0	0	3	6	1	8	10	0	2	0	2	0	0	2	5	3	1	6	7	0	0	0	0	2	0	0	4	1	2	0	6	0	5	1	0	0	0	2	0	3	0	3	3	0	0	5	4	0	7	3	4	1	14	2	7	0	0	0	0	4	3	1	0	5	0	0	0	0	0	0
0	2	0	2	0	0	3	0	3	3	0	1	0	3	2	4	1	4	7	0	2	0	1	0	1	0	2	4	1	2	7	0	2	0	0	4	1	0	2	1	2	2	3	0	3	0	3	0	0	2	0	4	1	3	5	0	1	5	3	8	7	2	5	1	8	1	2	0	0	0	0	5	5	4	2	5	0	2	0	0	0	0
0	1	0	1	2	2	0	3	5	10	0	1	0	0	0	5	3	4	9	0	3	3	1	0	0	0	3	0	0	3	6	2	1	0	0	2	0	0	2	1	2	0	7	0	6	0	3	0	0	1	0	5	1	3	5	0	1	4	4	4	1	7	6	3	10	0	4	0	0	0	0	6	4	1	7	9	0	1	0	0	0	0
0	1	0	7	1	1	0	1	2	4	2	2	0	0	2	10	2	5	6	0	2	0	1	0	0	3	3	5	1	6	5	3	2	0	0	1	0	0	4	3	3	1	7	0	7	0	2	0	0	1	0	3	0	4	2	0	1	1	6	6	6	4	7	5	11	1	2	0	0	0	0	1	3	1	4	7	0	1	0	0	0	0
0	2	0	2	1	0	4	1	6	7	2	0	0	0	2	3	3	6	11	0	3	0	3	0	1	2	2	4	0	6	2	3	2	0	0	4	1	0	4	1	5	1	1	0	5	0	0	0	0	3	0	4	1	3	2	0	1	5	8	5	2	7	5	4	6	1	4	0	0	0	0	1	4	5	5	1	0	2	0	0	0	0
0	0	0	1	1	0	3	5	5	6	1	1	0	1	0	5	0	6	7	0	1	1	0	0	1	3	1	1	1	3	5	3	3	0	0	3	0	0	1	1	2	0	5	0	8	0	0	0	0	2	1	5	0	6	7	0	4	3	3	5	5	2	7	1	5	2	4	0	0	0	0	3	3	5	4	6	0	0	0	0	0	0
0	1	0	4	2	2	2	5	5	6	0	0	0	0	1	6	1	4	6	0	0	0	0	0	0	1	3	5	1	8	1	1	2	0	0	0	0	0	3	2	5	0	5	0	7	1	3	0	0	2	0	3	0	1	4	0	3	2	3	7	6	1	8	1	8	3	2	0	0	0	0	5	4	5	2	3	0	1	0	0	0	0
0	1	0	1	3	0	3	2	2	10	0	2	0	1	1	2	0	6	0	0	4	0	1	0	1	1	2	3	1	4	5	0	0	0	0	1	0	0	4	2	3	0	1	0	3	1	1	0	0	1	0	4	0	1	2	0	0	4	3	6	4	4	4	2	6	0	8	0	0	0	0	2	4	1	3	1	0	1	0	0	0	0
0	2	1	2	0	0	1	0	2	1	0	0	0	1	1	6	2	5	2	0	1	2	0	0	0	2	1	6	1	7	3	1	1	0	0	1	0	0	3	5	1	0	1	0	4	0	0	0	0	4	0	6	0	7	2	0	2	1	8	3	3	3	5	1	9	1	7	0	0	0	0	1	4	6	1	5	0	2	1	0	0	0
0	4	0	3	1	1	4	2	3	1	2	0	0	0	1	4	2	7	6	0	1	1	1	0	0	1	5	4	0	6	5	1	1	0	0	5	0	0	1	0	1	0	3	0	3	0	0	0	0	2	1	5	1	3	2	0	0	6	3	6	1	5	3	1	12	2	5	0	0	0	0	5	3	2	1	6	0	4	0	0	0	0
0	0	0	3	0	2	1	3	3	5	2	1	0	0	0	2	1	4	4	0	0	1	0	0	1	2	0	3	1	5	8	2	3	0	0	0	0	0	2	2	2	1	1	0	4	0	3	0	0	1	1	7	0	4	3	0	2	4	3	7	5	2	3	1	6	0	4	0	0	0	0	5	3	6	1	1	0	0	0	0	0	0
0	1	0	1	0	0	1	1	1	2	2	0	0	0	4	3	2	4	8	0	3	0	1	0	0	0	1	5	2	2	6	2	1	0	0	2	0	0	3	2	1	0	1	0	5	0	0	0	0	2	0	6	0	0	5	0	0	4	5	7	1	5	6	1	9	1	4	0	0	0	0	6	5	2	1	4	0	1	0	0	0	0
0	2	0	1	0	1	1	2	4	5	2	1	0	1	1	3	1	6	4	0	1	0	0	0	1	2	0	2	1	7	8	0	2	0	0	2	0	0	1	4	2	0	4	0	0	0	0	0	0	1	1	3	0	3	2	0	1	6	4	3	4	2	4	1	6	0	0	0	0	0	0	2	3	9	5	2	0	2	0	0	0	0
0	3	0	1	3	0	1	1	3	4	1	0	0	1	1	2	2	7	3	0	1	0	0	0	0	0	0	4	0	7	5	1	1	0	0	1	2	0	1	3	2	0	2	0	2	0	0	0	0	2	0	6	0	1	3	0	0	2	3	5	2	3	5	1	9	1	5	0	0	0	0	4	3	4	1	3	0	3	0	0	0	0
0	1	0	1	3	2	3	1	7	5	0	1	0	2	2	2	4	4	10	0	2	2	0	0	1	2	1	1	2	5	4	3	2	0	0	0	0	0	2	3	1	1	2	0	3	0	1	0	0	0	0	5	0	4	3	0	1	2	3	7	2	1	1	1	5	0	4	0	0	0	0	2	5	1	4	4	0	1	0	0	0	0
0	3	0	3	4	0	1	2	4	3	0	0	0	1	0	3	1	9	7	0	1	0	1	0	0	2	1	2	2	3	5	1	2	0	0	3	0	0	2	3	5	0	1	0	3	0	0	0	0	2	1	6	0	3	1	0	1	4	7	3	2	3	3	3	4	2	6	0	0	0	0	3	1	2	0	1	0	3	0	0	0	0
